City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,22/02/2019,37.45,53.623333333333335,6.23,11.82,18.06,66.08,1.09,23.61,32.82,0.0,0.05,1.12,61.89827586206897,Satisfactory
Chennai,22/02/2020,29.2,51.45,7.52,8.63,15.94,109.55,0.86,8.51,20.66,0.72,0.0,1.12,48.666666666666664,Good
Chennai,22/03/2015,49.28999999999999,50.87956521739131,14.05,22.96,12.06,9.56,2.24,8.66,49.91,1.315,1.93,1.12,81.90379310344827,Satisfactory
Chennai,22/03/2016,69.38,50.30913043478261,3.48,18.52,13.35,181.06,1.02,3.35,28.48,1.91,3.86,1.12,129.60758620689654,Moderate
Chennai,22/03/2017,35.25,49.73869565217392,2.76,7.12,5.53,104.035,0.02,2.49,25.43,0.0,0.0,1.12,58.18103448275862,Satisfactory
Chennai,22/03/2018,45.69,49.168260869565216,9.84,18.66,15.48,27.01,1.35,7.46,28.59,1.17,1.04,1.12,75.82103448275862,Satisfactory
Chennai,22/03/2019,41.01,48.59782608695652,6.95,12.16,20.64,39.88,0.84,10.28,27.87,0.0,0.05,1.12,67.91344827586207,Satisfactory
Chennai,22/03/2020,39.42,48.02739130434783,6.14,5.39,11.4,55.35,0.85,4.84,46.53,0.53,0.61,1.12,65.22689655172414,Satisfactory
Chennai,22/04/2015,73.8,47.45695652173913,10.66,25.18,18.57,10.47,0.92,6.3,27.76,1.35,3.1149999999999998,1.12,144.69655172413792,Moderate
Chennai,22/04/2016,51.96,46.88652173913044,4.76,13.52,9.92,27.85,0.9,4.71,44.55,2.17,5.62,1.12,86.4151724137931,Satisfactory
Chennai,22/04/2017,81.33,46.316086956521744,2.28,11.45,9.12,28.200000000000003,0.08,9.05,53.37,0.02,0.01,1.12,170.40241379310345,Moderate
Chennai,22/04/2018,31.22,45.745652173913044,10.76,20.92,15.3,28.55,0.8,3.78,32.97,1.13,6.3,1.12,51.37172413793103,Satisfactory
